asm_md_filesize,asm_md_loc
877570,185368
33526,4756
847136,169963
959298,24345
27770,3182
33479,4738
37421,5868
610965,127320
28590,3326
3149207,71798
3552181,189446
1077425,235532
107833,12953
235003,13900
28602,3493
3807431,820606
110603,11716
8415643,2389029
420228,14318
1929612,78441
2990471,126645
429446,16199
3695069,180202
36785,5783
1013902,212297
37425,5873
28596,3375
3694334,811561
28694,3381
177853,30885
267635,27501
1658491,358922
380525,11419
2257284,333327
3321813,433582
33239,4724
232128,14718
804803,165537
27741,3230
234265,14310
232120,13732
752686,152637
28853,3431
3530234,785850
2657678,444882
29007,3438
394548,65754
1468594,208905
11725265,3348946
402425,13042
907058,186138
1570607,409735
234993,14717
24229,2846
2090187,579981
1129549,243020
3566913,164848
22471,2597
28615,3412
122291,14102
28814,3411
36654,5738
3013256,69690
552425,101479
28640,3389
28690,3392
3700234,812181
230841,13713
884429,181224
28274,3344
28589,3126
1217166,203758
3547630,787935
1253453,270443
3824300,127287
232664,13563
1108197,46973
3844879,896458
28075,3357
2291002,43850
3134120,423587
28234,3322
2434863,520959
33395,4730
169166,22641
21160,2415
3898018,916662
326701,66090
22874,3691
2052666,531219
21466,2456
3852400,906087
24248,4002
28543,3139
3085484,72331
455208,15732
27410,3185
1827772,77533
36813,5753
21699,2464
265503,25736
918681,185417
3547235,788001
28347,3382
125443,15235
1560884,66076
232347,15324
242492,16844
506602,9823
212339,27318
8617375,2451959
8922136,2534163
28482,3377
3709720,208019
8956802,2475190
232984,13625
3885544,924985
625574,120264
4619123,493443
3746429,176558
3840132,892654
726799,100791
28744,3471
1105890,138234
3985872,209947
12645,1013
551079,111609
27931,3261
2053184,569619
28902,3355
3547725,787974
24398,4004
251109,47101
2726965,115405
24156,3847
3869441,908961
24094,3838
132220,14677
3855747,909693
231214,13747
3817721,913410
2867388,142160
6114242,1371612
33621,4764
336832,43097
3683474,808137
28444,3357
6168947,1748483
888444,98719
83413,8734
1885933,80492
1142921,245779
1628326,109721
31207,4407
24232,3998
3614252,991865
33282,5256
240088,15673
24025,3827
1398703,161087
1121335,242043
23619,3825
24056,3984
6480707,1830016
26367,3094
22900,2630
28786,3383
394813,47742
3545214,787942
3699750,189490
3890395,917386
28450,3362
905657,173509
1869535,79359
4366973,178868
184047,29323
24224,3860
26642,3064
1879555,80025
80683,6949
159797,18223
3710636,214529
22526,2595
1103639,237667
2694991,129985
3213157,72191
28786,3409
28840,3400
529351,113445
4760087,217837
24344,2819
31786,4010
230452,13642
23774,3835
28002,3245
2942008,123613
91228,13502
4129618,1154042
28646,3523
445229,55251
6238285,1405679
268160,26507
451094,97196
27726,3195
111052,14283
6579364,1488115
1875232,80189
2452371,524132
294827,47871
262934,34614
3414946,113759
36661,5741
36608,5720
152158,19948
26870,3170
3529994,144640
3109632,840503
234218,13787
1994532,51146
3548938,788455
37007,5825
30982,4381
24312,2811
3546712,787936
3568518,155724
1391190,88734
649818,148175
2940479,63056
330956,55501
3331930,162003
5831444,1637054
1000280,197185
795483,157384
235293,14946
21572,2448
24033,3987
31092,4373
3533172,786951
26520,3050
401062,66153
776538,159530
28288,3464
3824370,238617
659540,90019
636955,27249
37245,5883
27892,3102
20654,2387
600049,112439
1223502,266395
28397,3411
24275,2810
3547210,787925
8083877,2295473
321778,53208
21594,2422
3821595,1060942
35880,5651
1884566,79804
27895,3250
947481,131993
6757416,1903799
2965196,461051
1673524,78346
3549082,787933
234514,13818
28830,3391
21302,2424
3997105,136468
28530,3393
9089626,2603086
3837991,892737
1209082,155475
432294,91542
788187,157996
232923,14695
227402,14351
231524,13703
262594,25551
28571,3386
24255,2819
3892605,928843
840624,115367
237821,16018
232902,13621
36928,5813
439399,80813
98641,14266
553177,101513
579510,41033
1287804,190723
27863,3210
5541309,1251394
151104,18778
243358,15682
3811313,913229
29010,3422
862800,181008
2939863,124673
28408,4008
1289802,77245
690912,149214
19990,2607
27501,3248
659540,90019
20403,2351
1135312,243066
144043,22065
24159,3848
2959375,65429
28975,3357
236673,15874
3016318,414655
549376,75073
33809,4755
111130,12714
28368,3386
28561,3384
28471,3115
101821,11900
119977,14867
2781507,172246
233193,13650
23997,3838
27624,3187
8148676,2302979
3396663,153953
9190574,2605381
27792,3233
3869458,909370
313646,61607
3855439,892424
65391,8962
87853,10277
900839,186814
236414,14909
65785,7083
882581,102028
3547079,787981
7835692,2225159
3547658,788135
22563,2614
20850,2405
289690,46291
3441127,745704
2941346,63828
3547101,788101
933859,206310
239567,15927
2441982,521455
267812,41055
545663,110913
573464,125961
284541,44828
1631141,240454
3005585,141411
153730,20384
879662,184621
2668097,310160
28392,3383
3531588,785841
21611,2464
163170,8344
972038,192064
21593,2467
2838997,136677
23729,3807
22167,2567
5212845,1408885
2929190,67038
5500346,1560415
37078,5815
2039923,301242
33509,4764
21576,2446
1088412,235420
376047,52099
28491,3331
3059575,71860
1268656,280007
116894,9799
4103119,188958
37000,5823
1691985,367112
3201095,71166
237793,15256
2089663,298984
132273,14676
3547075,787962
2263662,630638
28677,3411
1894968,60661
3800413,909035
13055740,3723897
181622,36087
125268,12715
1647320,239950
37381,5824
4121576,466247
168195,21850
28137,3153
3992061,214675
4020254,236112
33418,4719
28830,3316
231353,13614
23487,3876
97640,11420
1112647,240730
3416035,169441
261658,32700
989462,188386
5302205,1215223
3396863,108938
24273,2810
20707,2370
22682,2612
21479,2465
28734,3387
3358896,153626
723241,30618
371302,78739
3945313,948309
24122,2788
370904,75013
176571,23915
2734395,137606
132026,18137
3071562,70026
22826,3661
531287,74688
974440,198802
2928872,62655
229441,13767
27768,3188
272915,27499
572843,68643
27572,3224
315020,29408
161050,18425
28763,3375
1126943,243044
24696,4015
939929,129356
869839,184999
24170,2792
8765243,2505728
102582,12006
1943038,49830
771703,155716
487866,100148
615032,22889
8040203,2227135
7715251,2183409
1035146,217768
3531434,785665
8628951,2480852
28709,3379
21420,2438
28423,3363
27468,3189
27524,3227
238714,16264
803727,113166
64869,7360
2893069,429271
28727,3405
584670,127235
7267227,2002092
33635,4725
22730,2622
231557,13656
957694,124502
3829558,225866
3219835,72557
21572,2490
3188299,69905
200944,39119
37962,3871
917081,185105
28634,3408
23776,3844
249351,16567
3546232,787970
34118,4774
3042376,69554
769849,157009
27210,3186
27695,3190
1445157,318760
13073335,3840891
450172,59215
746245,153264
8383741,2317017
562936,127375
303390,39517
1289690,36888
1212803,22095
24631,2864
237420,14716
4259650,140823
300221,42538
7597896,2138286
27589,3183
232675,13586
7877583,2301122
3184103,70141
9224044,2608560
6748673,1908297
10079171,2853182
227726,13665
989043,216118
908958,188720
122725,14134
67648,9185
12619819,3719008
764623,154865
2955379,149067
28282,3945
3544898,788077
7011202,2026946
28634,3151
3076077,70598
254630,33400
2124690,262825
350689,60800
414286,76690
255536,34586
153651,23597
3841675,892448
1224509,266425
323430,66093
51904,7936
8334998,2308428
3695453,811794
219226,27645
169623,22654
26826,3066
4145579,193527
36412,5729
6507127,1833382
36405,5708
23498,3813
3179510,143162
3844606,890769
7358396,2145803
3547785,787943
10879381,3102834
27866,3226
351982,68291
407471,33767
1290589,284395
3925361,1089032
27733,3254
361562,38779
28517,3456
3061126,70120
6611092,1490458
28705,3401
20784,2387
546753,117144
30984,4370
26354,3004
28544,3493
3552682,178728
1211498,265388
369752,11351
225072,13530
26883,3082
870198,177311
8979285,2530140
1843044,207858
1244871,266527
767603,116175
24731,4000
168764,21322
5522298,1554147
6830372,1908853
33821,4742
126979,18337
27880,3221
33550,4716
5325427,1220691
37163,5815
239862,15035
436255,62821
1249494,35585
17486,1963
4175041,198851
33287,4698
240111,15158
609910,26428
232874,13609
33798,4778
3886651,913208
262109,25490
28958,3432
27611,3087
239097,15132
2455217,526043
27326,3201
657358,148175
292533,36191
6368432,1443075
859061,173770
269666,31858
33710,4735
531660,66054
28410,3413
21381,2414
254975,45730
1544779,104381
3867648,913369
135045,16145
529268,97787
21494,2432
3630087,221147
117213,19657
640200,144009
3931948,941178
3549028,788408
3087477,71067
22801,3676
28841,3386
1378146,50794
22307,2567
20651,2769
550482,103003
713318,149960
33664,4766
1394251,174147
3548532,788343
194890,38815
2274608,631344
1128855,48334
9205360,2550052
35606,5608
631569,27048
528554,95146
28803,3437
1121259,239239
28172,3309
12156851,3595044
3882717,913349
5093273,759561
552489,101659
3534689,786622
28251,3394
455969,11769
1301016,284814
35713,5648
27697,3142
21162,2433
28705,3403
3239823,146306
377889,10758
3697960,811119
1270375,279887
28943,3412
6345880,1443664
28024,3189
592673,128775
3533236,786263
1341882,172567
24194,2839
24354,4076
27751,3233
613092,26426
4619115,493445
646147,91123
27270,3210
2029715,51944
119399,21031
176242,26126
485663,86423
238622,15038
28635,3364
8179434,2309350
1152252,237834
624790,120296
35476,5612
167253,30904
3846403,909761
697863,159494
588697,81411
1121423,240001
191836,29366
1503666,205987
6238876,1405775
1019145,195561
3953850,1092069
10909058,3099568
3546597,787958
1870345,65064
36714,5734
5466631,1237090
24134,2811
3869138,500640
352396,10777
237950,15150
27754,3123
8923349,2469456
8107881,2343613
310628,39838
3719511,211977
3046022,69094
28483,3341
4118148,167813
495322,88866
100869,11951
890285,184515
3879469,213542
724389,107511
24718,4022
1121961,246030
3194760,70388
233298,15485
1249444,157779
7569852,2139261
229947,14213
3911219,179408
475436,88913
1821743,199092
3835361,893592
28746,3426
2490264,533608
4717645,215183
2617467,118405
240866,45039
102652,8742
6070004,1679290
27377,3198
672463,78884
638411,27021
3545710,788002
24143,3848
28372,3374
175184,26063
3916278,929057
292908,24042
20429,2339
404219,13356
3818446,892476
27686,3212
485606,18195
3626047,119331
152148,20459
3546909,787923
28876,3456
30864,4364
33130,4691
28861,3410
3067687,139311
3828194,911628
2022733,51544
477909,104060
5474469,1241097
1298179,152040
28890,3382
24222,2826
8332686,2311606
354132,44922
28624,3378
12830873,3711384
28878,3423
3860545,912852
559519,41655
1311734,283545
426532,84245
9262305,2606337
407776,13660
88909,11723
260917,26512
184955,36275
23840,3810
22489,3677
3548614,788417
8662289,2460830
5303265,1218891
3839118,892523
314074,6250
24169,2809
24751,4022
232978,13584
1008959,237074
293913,32734
4153776,173931
3547229,788358
253130,54775
22740,3681
36744,5746
133853,18609
28360,3366
28565,3477
1876389,78891
856801,174998
3107457,123378
3146962,147689
28796,3356
3893375,912908
21394,2411
10249663,2980610
970049,193390
827310,96400
27403,3080
3872724,913216
264347,25670
1141041,243096
3434769,935872
108639,12532
234320,15101
803575,192028
36930,5788
5213068,1187132
28538,3398
3387103,733760
6268376,1413967
102413,18716
550512,112453
23784,2781
721536,90032
5313384,1215365
225772,29072
27792,3214
27615,3116
276300,28415
28624,3340
7468900,2107484
825368,172275
189322,24137
33481,5301
121605,14271
623014,117937
22185,2510
2889337,152123
230241,13677
378611,11752
5727358,1606720
102949,12405
36370,5684
21235,2424
851694,174137
123220,16457
36918,5815
1196045,33124
4308926,174962
152258,19951
2261865,630101
657357,148175
3802699,184155
1595530,343646
139523,16015
28047,3257
21562,2448
1875624,79632
3345857,113874
897042,121367
3510401,522260
1762825,82919
28957,3391
233121,13676
548625,111875
337074,57893
6402132,1441306
21262,2436
8300301,2354581
12599823,3595897
21471,2420
954911,196388
384955,11439
1139121,247651
433995,66007
36579,5741
3860479,909169
684204,152667
26121,3074
3780551,1058402
860470,175896
3091218,72566
21407,2441
3064902,136367
21340,2434
6372839,1438963
2343597,111068
230473,13663
33493,4754
28357,3379
8157908,2309934
437870,86562
97360,11269
254035,33041
3183315,69167
398854,14140
4405597,199687
6230463,1406195
142763,19274
5224861,1193209
28539,3398
1263627,279003
37004,5794
2439824,522198
1333780,73304
27575,3139
234692,14432
2659018,127720
410549,79540
27328,3191
855749,174403
4827444,241676
227244,15295
1068549,180828
229739,13618
3544833,787803
7482555,2140976
28974,3386
27534,3125
27859,3230
27628,3168
3913257,925555
24194,2797
21449,2435
28506,3377
102622,13985
28732,3304
28707,3397
3640908,172630
24596,2841
232075,14854
1903799,80721
80155,8448
7836209,2221156
13062533,3722727
28054,3222
3533599,786299
414338,54697
348705,71454
523588,94365
1580122,413587
119558,14136
3151363,72033
28767,3380
4558,312
33689,4767
28549,3377
3217417,73950
33613,4736
149714,28741
429881,73915
33500,4767
37375,5863
623340,120287
24088,2806
21439,2426
33898,4765
620450,77046
3487181,157140
478279,70205
397895,13111
559917,41660
229434,35518
33527,4749
63439,8052
36801,5757
3575119,160248
2954619,64339
231768,14508
573423,76870
26682,3077
239160,15656
191554,37525
459126,15575
28671,3428
651245,83831
21244,2443
22759,3695
3545044,787945
894007,175681
28265,3999
1381589,296065
7576,688
28924,3500
6835362,1950110
24432,2829
27489,3218
1813027,79306
306120,40035
28821,3406
232982,13630
3893054,925013
567532,79224
752754,151881
8210506,2346989
33565,4755
4064823,133904
33864,4778
37350,5843
49230,7914
22752,2606
27916,3233
11252375,3219822
21544,2464
3651611,175021
272832,30517
207266,25586
4987732,1072531
7785537,2150445
489958,86529
26677,3101
344171,45226
612782,82751
1924149,237892
177428,23726
868414,176482
28185,3410
3365287,152098
240370,16166
33906,4779
1084969,234563
6390058,1444911
2285531,42137
26473,3114
23017,3699
202928,32280
3530989,785976
53057,5957
24600,2843
361429,38763
384247,79509
2340717,394151
1905735,81661
204243,41726
133024,15324
3121797,73827
27700,3205
248946,31527
823564,170518
888369,152982
6150745,1383962
851985,178646
240234,15141
26488,2773
33546,4775
1218561,262538
27504,3185
2970134,66616
28107,3332
3545949,788092
773116,102789
31082,4393
9109100,2531667
28718,3354
3944140,177653
1687664,358647
20429,2335
3864510,909444
27931,3228
22518,2614
47226,6073
172807,27597
28913,3395
1522896,209041
101195,13945
22349,2566
28716,4022
6094687,1373004
244235,15664
3696562,809769
242145,15500
1708927,77815
436604,75685
994274,199372
3881049,909910
26473,3115
21264,2426
522143,65422
379462,52684
33620,4728
24456,3992
2447317,351244
27797,3239
346448,44069
230452,13635
3547317,787982
4191231,192297
1148865,147140
470375,81770
28344,3366
24181,2834
33356,4760
155326,30312
21533,2448
28626,3391
263556,25512
28596,3369
1091036,238429
973867,200725
4332423,172724
3942018,944907
20961,2408
3547932,787970
1240814,35221
6467840,1826624
201012,29980
28429,3363
536604,144009
233442,13666
2000741,86594
153836,10487
346923,53319
432725,54275
6622737,1835010
565525,41548
1879936,80266
37257,4387
21537,2449
27684,3083
6769842,1911126
33510,4732
3832400,892801
26499,3070
1407845,56759
11752959,3349022
650212,144008
3514142,192202
649808,148176
2764732,117530
28595,3507
236802,15810
21483,2454
7221,654
282757,30456
12998689,3713037
6562026,1478134
21585,2430
26671,3072
3532810,786116
231750,13618
3678213,178432
1120190,239965
455034,16358
35516,5628
3503985,121352
144967,17688
2428341,519072
870214,110810
1308057,286038
2433348,520055
21438,2434
1243342,266054
24234,2796
3547465,788087
605065,18287
3547048,787959
28742,3514
6848377,1922752
28681,3366
226721,50594
23645,3807
45861,4919
194910,22381
1130773,242256
247954,17556
234246,15629
24616,4011
3692965,129664
1979289,50098
3592624,193222
232908,14440
33389,4745
1179317,164835
3068099,152317
21611,2450
1333630,289319
2245448,96588
28357,3397
3544848,787808
3654909,200944
877676,184208
640199,144009
2522263,421186
106471,13931
21604,2439
970793,213834
3469989,156321
670437,148153
11830946,3459723
587722,127770
5455810,617247
5770180,1667344
28931,3425
33435,4729
538089,110623
3137597,156905
544051,71765
2427205,518789
262691,25485
2602884,431359
369510,45754
5184389,1184645
592109,128264
5989517,1714658
945237,39959
2082323,90737
1486594,63141
231280,14303
246533,16621
4106442,1129880
102917,11801
27814,3191
21607,2004
399488,13028
1350353,196354
28607,4042
3848686,892545
561485,104591
388038,12816
27262,3169
3873081,896361
246765,16939
6202035,1397583
12480413,3594904
171887,23066
799290,160601
28944,3378
2428925,404561
1249162,34368
7136565,1985265
7405608,2102380
1325290,287898
232592,13612
3879303,909073
28780,3412
391193,12354
3751008,892458
3703474,811679
14650,1347
230915,13602
33806,4740
27482,3195
3546576,788004
228595,14068
841060,170099
192304,18851
596228,67662
28526,3364
3326446,520084
6192370,1402019
28390,3122
312548,35885
2215727,91079
3545735,787949
552425,101479
592723,128771
1110453,243614
409392,12674
1007199,203999
2253087,629803
28050,3262
33481,4726
108778,12391
559714,41671
28275,3396
476662,102379
234288,13742
390177,11670
29271,3135
28703,3431
232285,14172
3546349,787944
199146,38845
3538032,787762
24316,4052
7465653,2110659
3796176,153210
1585328,428472
28904,3405
26822,3103
1257305,264821
1796938,215397
224158,13715
2118473,544317
148727,17368
432878,85222
151226,18733
392570,14256
28338,3138
26088,3121
159833,18879
2520301,540545
30974,4381
5872240,1672521
27530,3216
258358,31545
27436,3212
23393,3859
2395157,513317
6504345,1467493
4232864,209754
3547231,788003
28234,3343
2950309,63470
27671,3108
119472,13601
28666,3496
3546387,788111
3235644,437558
21417,2449
227998,14351
22656,3680
133780,14342
177147,23954
182913,24424
24276,2811
2946939,129408
28728,3384
21308,2392
339290,20190
3872447,911680
2945902,63938
3535631,786612
3547521,788021
33455,5286
6515510,1829848
28456,3344
3549231,787917
474571,66047
8397338,2381527
237688,15084
3532241,786013
581301,124020
28563,3366
1059144,148492
1870549,47614
36896,5808
1589364,428101
12284049,3592732
28510,3381
292234,46308
244000,31440
237538,14903
845563,173614
1925878,81738
753972,81818
47448,5042
6482763,1467446
3546084,787962
21484,2449
3890165,925099
451196,60469
21551,2432
414823,13415
22582,2618
2015349,513677
17632,2220
1918434,81626
6473673,1463540
27525,3088
8197639,2333414
3866906,892516
768761,104562
3890414,925050
21707,2458
3547357,788061
28716,3403
272342,37627
3297791,136989
33421,5294
657357,148175
1313914,76923
1306676,182279
827861,173268
234101,22833
4619106,493446
3837741,889608
27726,3187
6225130,1752206
1599867,413178
167186,22241
151979,19934
245285,16060
3857651,916014
203353,27769
818947,168236
29036,3397
33106,5269
3323515,108104
6703531,1842165
119608,13722
3720772,163329
273699,49798
33755,4784
3491578,199148
1257764,268081
3531533,785530
28637,3408
954245,183640
232659,14865
21485,2431
4052639,584491
21346,2459
2508066,413619
3337655,109766
28551,3387
4101758,235119
28455,3375
3668526,177560
1241438,252990
28858,3403
606715,71555
28990,3415
233176,14110
4619112,493444
107936,12190
28845,3418
1105670,236941
6643182,1836227
6166346,1750556
24448,2853
1495932,56769
887009,118945
315399,75025
21391,2423
169243,22680
362048,40735
2427309,519893
46742,5054
31648,4001
21299,2410
855000,172262
33437,5309
1392409,295506
3418284,107945
26854,3068
926260,131414
498329,95194
708431,139155
21463,2451
233557,14906
21208,2414
1726141,278852
3905698,928953
3546397,787934
1846710,78919
485982,102352
3546004,787939
21544,2456
237184,15041
3918148,219093
28335,2847
1738766,461353
21323,2432
28747,3398
27504,3197
6438593,1449363
22716,2626
241808,16225
28347,3327
3608219,182827
24177,2788
455732,78995
3221444,73868
27326,3193
2924486,124802
3863611,912916
233507,13661
225980,13592
2766987,138269
2545314,405946
175204,21543
3878629,190565
36784,5795
670438,148153
3684995,808184
23625,3813
24334,2842
259601,26281
7149478,1986235
3914866,211509
33690,4732
7458575,2110426
6501339,1830613
22337,2591
102341,12702
406007,172124
682034,96211
3993462,136879
909952,183688
1433133,61111
553176,101513
1603304,424302
243322,15979
36572,5730
28434,3401
642726,79034
28686,3404
8683825,2461226
3547098,787929
4575511,210224
3853498,913357
1947513,83105
240463,15161
3606984,996005
3534761,787242
752179,149073
20650,2393
1008880,237074
27990,3237
2000873,261463
36424,3806
3859512,189937
36457,5730
23549,3879
233400,13681
53569,5792
28550,3399
3859480,909221
2766749,139503
9197136,2552783
242352,15889
3746203,182885
3114450,130740
24235,4031
3461687,153333
228273,13674
86552,10390
1079856,19610
4776524,215926
3546850,787954
7167811,1988180
3544316,788056
607793,128201
240012,15049
47552,5061
234308,14686
242345,28617
246904,51517
28762,3438
456940,87114
22756,2611
432441,83316
27140,3130
121172,13670
24301,4024
614751,114843
2166759,306176
8360333,2376211
361169,11761
29004,3398
3708152,813245
2479835,530726
28708,3366
336682,13124
230816,13643
676521,79289
27452,3199
687328,132037
390752,13280
1362527,176797
3882594,912911
22289,2581
232149,14793
30973,4370
28226,3075
560134,41683
3886265,913000
2442101,523475
20625,2399
7440,589
33370,5312
28781,3180
2259337,79698
28643,3435
106497,12488
47217,4885
54847,10588
3077193,100272
101114,18126
3155723,72497
23650,3856
388046,50832
24465,2840
3442764,168210
233297,14439
993834,113797
916508,178667
19070,1925
20025,1448
3546832,787956
3474402,194850
440890,91459
259319,46582
5817087,1601745
1643479,403638
233143,13724
23800,3817
10117840,2855326
422030,62498
37071,5859
24120,2793
243268,47476
540488,110089
234614,13794
3233752,176916
1195410,266465
27495,3209
27234,3198
364421,22997
1479319,133122
176081,22823
23351,3814
1120114,31161
840566,172198
3765121,178440
207099,23147
829889,116221
21447,2453
1612011,225770
3849500,218403
3845158,1059291
140692,16628
115654,19102
6472695,1457690
3545981,787814
655402,88379
2997575,137696
7203462,2064243
607243,141431
240358,15102
31639,4013
837905,129638
183477,25868
3008795,96562
24146,2814
126305,16489
1963190,50244
3545177,787971
423686,14889
236814,14998
21192,2427
217971,27582
33766,4766
24062,3839
3143499,148965
974738,194305
357087,66433
9699279,2730902
2322920,393745
1111497,71902
5455828,617247
462543,87821
2853488,123834
1968599,50268
1655559,358911
107399,12559
1367583,192390
3332486,108378
28471,3376
3880565,166095
33014,4726
3546538,787953
123205,16455
2999724,805549
4880955,229787
28557,3516
2929164,67042
492272,106639
3173306,134454
228933,13561
26667,3117
33638,4754
28495,3417
3535653,786882
3200508,71772
21693,2415
28667,3361
33654,4731
26623,3097
255487,13881
21485,2419
4025999,1113925
851191,176035
8844550,2466493
22954,3705
231958,13518
424587,86355
866551,177752
3740709,173499
1120540,126065
28383,4008
5248935,1456275
33158,5275
27489,3218
32066,4127
28701,3399
29333,3463
27740,3228
236789,15820
3536559,786747
417331,13412
3028801,149229
3608849,191324
24171,2800
749133,153174
64672,9681
24514,2829
28647,3386
3056364,71062
99833,11417
3309788,198457
28907,3406
11409323,3224078
21384,2436
21233,2418
396975,14682
204385,32457
925918,127235
27834,3112
3367183,910664
28702,3435
27635,3208
36292,5732
173588,26814
12697,1015
237652,31765
24052,3987
33369,4703
1417939,177622
33417,5280
20780,2401
2956828,140733
3548614,788198
936406,188126
1730578,217986
260921,25618
5180789,1426884
3286611,109185
269615,53625
28132,3481
28688,3389
629587,92121
2564839,62444
935027,189214
10086748,2851516
3547075,787971
392348,55200
28664,3315
3544964,787808
254015,16956
233829,13707
382424,81317
392350,55205
224802,13679
6227540,1406067
235556,15885
9651698,2730229
31925,4035
3842060,896390
171544,26231
838769,174777
2956371,64885
27640,3215
3153303,130030
1661051,211621
36531,5747
1198409,260477
434884,80410
61457,5886
24369,2836
553374,103317
28649,3387
284102,29731
20631,2385
24011,2784
3546985,787935
26853,3109
102731,12100
689152,136068
28371,3376
11408,1028
28716,3399
29027,3432
477326,84172
263109,25563
6984061,1918749
3420825,112061
24131,2791
33186,5233
6271546,1427280
164174,23239
683197,131257
27638,3209
680946,132096
3777918,1060397
28951,3426
712555,163628
67837,9124
1957040,49690
4141760,208964
3845332,892556
2329683,42474
1656055,227545
1438785,61605
6437375,1444134
33114,4686
28948,3424
3887362,925095
6304415,1422579
100348,11897
500037,19009
552490,101659
27999,3168
384373,84023
6943047,1951888
290610,63356
28439,3406
401794,14920
1855663,78388
3703625,812718
33451,5285
13057737,3724240
213197,11570
1256910,268082
8487672,2374493
24023,2811
3866413,909270
27685,3197
7323,590
2471339,527949
24654,2876
3851590,912724
201313,23142
145946,19737
3202172,71685
83852,8746
5806362,1671841
269256,26470
27890,3237
522003,102425
2943565,62523
2422274,519947
245390,58186
3859433,911631
851009,148015
1130234,243029
798823,169258
267490,27109
766892,154145
24686,4019
349180,42499
24062,3827
7713346,2218554
5011879,1343802
6737260,1519077
566249,76066
24528,4012
2461251,528402
2504363,536575
3455349,158959
27766,3205
1538974,217362
3081594,71511
568857,103720
192900,19384
23953,2782
4039966,559805
3871378,912923
228744,14440
382007,12898
2565736,473547
24209,2770
3878833,127435
1263371,205815
206946,43417
26928,3139
