asm_regs_edx,asm_regs_esi,asm_regs_es,asm_regs_fs,asm_regs_ds,asm_regs_ss,asm_regs_gs,asm_regs_cs,asm_regs_ah,asm_regs_al,asm_regs_ax,asm_regs_bh,asm_regs_bl,asm_regs_bx,asm_regs_ch,asm_regs_cl,asm_regs_cx,asm_regs_dh,asm_regs_dl,asm_regs_dx,asm_regs_eax,asm_regs_ebp,asm_regs_ebx,asm_regs_ecx,asm_regs_edi,asm_regs_esp
1088,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1379,829,5,1086,7,62
362,715,0,0,0,0,0,0,0,63,11,0,11,0,0,42,14,0,37,14,789,375,221,658,408,245
1108,9,4,0,4,3,1,1,3,12,7,4,1,0,0,30,2,2,5,3,1205,1548,16,1205,12,100
39,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,81,89,35,131,1
79,72,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,86,116,63,116,119,144
120,84,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,417,183,70,156,190,224
543,248,0,0,0,0,0,0,0,53,26,0,4,2,0,13,10,0,14,5,1252,1129,353,867,267,105
131,128,9,0,5,7,2,6,16,57,0,32,18,0,15,22,0,10,18,1,242,421,123,148,113,76
465,1535,28,0,0,3,1,0,6,64,8,7,1,4,9,63,9,2,33,16,3090,2233,847,1259,1190,244
1989,1965,0,0,0,0,0,0,0,341,0,1,16,0,3,56,2,2,50,3,4862,745,1055,2938,1483,978
351,290,9,0,10,3,1,4,12,80,0,24,19,0,23,28,1,19,17,0,560,937,320,344,308,248
101,75,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,358,185,80,201,207,224
142,99,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,129,148,72,85,219,272
414,269,5,0,0,0,0,0,16,81,30,18,28,0,24,65,25,6,22,20,704,483,183,417,201,71
2550,3682,3,3,3,3,3,3,25,333,122,3,128,8,2,151,39,3,186,69,7273,6878,1712,4600,2153,1272
929,1816,0,0,0,0,0,1,0,201,8,0,30,0,0,138,24,0,24,7,3253,1352,453,1403,743,344
95,84,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,132,148,72,83,162,183
16470,12981,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,22084,6078,19049,19010,12827,301
32,34,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,63,50,17,144,160,91
1148,3045,0,0,0,0,0,0,27,357,31,5,152,10,0,282,22,9,133,19,5878,2542,1698,3237,2042,1943
389,636,0,0,0,0,0,0,0,58,107,0,42,0,0,76,39,0,83,52,853,338,238,734,289,233
476,523,57,3,33,31,3,18,83,290,1,155,97,1,116,122,0,78,75,1,1119,752,520,521,618,215
122,79,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,105,154,74,115,239,272
400,754,0,0,0,0,0,0,0,120,153,0,60,0,0,90,67,0,105,37,839,341,251,871,319,261
435,588,0,0,0,0,0,0,0,28,32,0,49,0,0,53,21,0,14,11,833,560,256,657,306,249
364,1333,0,0,0,0,0,0,0,202,0,0,0,0,0,6,0,2,1,0,2417,843,776,900,946,209
129,91,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,403,180,98,106,213,225
94,73,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,305,147,63,120,171,185
403,678,0,0,0,0,0,0,0,91,78,0,27,0,0,103,35,0,88,52,907,333,212,751,294,234
23351,985,3,3,4,3,3,3,39,696,275,3,8,0,0,302,244,5,173,216,43435,60006,525,34128,6166,9769
996,1886,0,0,0,0,0,0,0,201,8,0,32,0,0,138,24,0,24,7,3352,1358,473,1517,776,382
140,74,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,126,148,60,93,253,273
424,335,0,0,0,0,0,0,0,75,0,0,34,0,0,51,2,2,59,0,793,213,186,674,136,89
161,69,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,174,179,80,134,196,224
19614,12195,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,31516,6078,11975,26870,19901,301
863,730,10,0,6,0,0,0,10,168,99,11,20,0,5,190,102,2,119,128,1875,1114,341,1277,458,588
453,619,0,0,0,0,0,0,0,23,16,0,28,0,0,56,16,0,17,21,882,596,279,689,315,273
119,78,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,284,152,83,84,175,182
1106,15,0,0,3,1,0,0,1,16,7,5,6,0,4,28,2,2,3,1,1192,1550,10,1206,11,97
15251,10932,1,0,0,0,0,0,38,2637,416,36,887,244,30,492,140,7,1254,228,38222,21270,14628,8595,5580,5102
16426,20606,0,0,0,0,0,0,0,74,193,0,8,0,0,93,7,0,41,9,28524,1926,27034,20207,20339,778
945,22,10,0,6,2,0,4,3,13,6,6,2,0,2,28,2,4,11,1,1003,1391,14,1010,29,88
929,1811,0,0,0,0,0,0,0,201,8,0,28,0,0,138,24,0,24,7,3249,1352,447,1400,743,342
1023,15,1,0,0,2,0,0,1,17,3,6,1,0,0,31,7,2,7,4,1275,1425,12,939,15,102
703,997,0,0,0,0,0,0,32,97,37,0,26,0,0,74,10,0,35,2,1417,828,418,1200,555,481
289,243,8,0,0,0,0,0,2,39,12,0,6,0,0,76,7,0,11,1,495,400,132,349,165,315
12500,10409,0,0,0,0,0,0,0,126,215,0,101,9,0,221,32,0,76,54,12805,2443,10723,11929,10031,827
44361,77836,0,0,0,0,0,0,780,13472,2521,58,2989,259,92,3320,719,51,1883,436,125156,79673,35226,88563,45040,34746
896,5076,0,0,0,0,0,0,42,613,27,4,187,6,7,371,13,19,153,10,11915,7887,2598,4258,3512,1439
813,989,0,0,0,0,0,0,1,138,114,2,60,0,1,171,75,0,127,61,1286,749,376,1243,449,291
127,83,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,163,151,48,121,204,272
121,84,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,297,152,64,113,156,183
1154,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1344,675,5,1083,5,106
1107,18,3,0,3,1,0,1,3,14,6,3,2,0,3,31,2,0,3,6,1193,1546,11,1212,10,96
472,13,0,0,1,5,0,1,3,4,9,1,0,0,3,7,4,3,20,2,665,1806,10,578,3,156
85,83,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,151,148,76,87,235,273
147,122,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,362,179,85,156,185,225
1040,27,3,0,3,3,1,1,3,28,2,7,3,0,4,35,8,6,10,3,1279,1434,25,953,29,101
536,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1133,664,5,594,5,56
104,47,0,0,0,0,0,0,13,1,0,0,0,0,0,11,0,1,0,0,144,125,108,113,233,263
128,73,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,141,147,64,136,173,183
414,651,0,0,0,0,0,0,0,52,83,0,29,5,0,91,19,0,60,57,854,338,232,732,285,249
1159,2477,3,3,3,3,3,3,48,266,108,7,123,18,5,225,40,3,44,34,4944,3923,1513,2682,1878,774
37,18,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,103,33,26,42,45,46
612,628,8,0,0,0,0,0,2,80,59,0,16,0,0,125,36,0,56,47,1224,1001,301,954,413,491
149,125,0,0,5,1,0,1,7,25,0,19,9,0,6,11,0,8,4,1,277,631,146,175,122,100
64,98,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,150,149,75,126,199,272
52,83,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,116,154,86,116,269,273
350,254,8,0,0,0,0,0,2,17,15,0,12,0,0,62,8,0,19,0,497,538,187,465,255,288
1516,679,0,0,0,0,0,0,0,7,76,0,0,4,0,2,6,0,1,7,2685,3317,176,1924,341,224
36,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,81,33,38,173,1
33907,44974,1,1,1,1,1,1,320,3972,874,35,1380,218,153,2227,693,226,1517,455,82624,22918,27424,48660,32262,45785
88,83,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,107,153,74,111,249,272
40,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,81,42,26,115,1
929,1811,0,0,0,0,0,1,0,201,8,0,30,0,0,138,24,0,24,7,3249,1352,453,1403,743,344
1192,2214,0,0,0,0,0,2,5,217,18,4,32,6,5,144,41,1,24,16,3990,1709,735,1807,1089,785
127,84,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,136,182,83,195,211,224
47,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,81,87,29,123,1
1667,3043,2,2,2,2,2,2,19,491,32,3,149,5,2,124,37,3,129,10,6477,3590,1554,3391,2353,997
677,845,0,0,0,0,0,1,2,57,76,3,50,0,1,130,39,5,73,52,1193,712,334,1153,402,272
48,11,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,136,37,24,29,38,45
356,343,26,2,34,35,0,17,59,205,3,62,60,0,65,87,0,65,41,6,632,712,371,394,361,193
166,71,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,363,180,114,90,221,224
90,94,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,113,148,82,109,157,183
7038,7479,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,13438,6078,4115,11936,8897,301
143,623,0,0,0,0,0,0,0,21,2,1,11,0,0,5,0,0,1,0,1162,921,368,614,396,147
97,171,0,0,0,0,0,0,0,20,2,0,15,0,0,4,0,0,6,1,338,154,138,142,135,256
152,748,0,0,0,0,0,0,1,215,0,0,2,0,1,4,1,3,1,1,1448,609,415,334,556,138
146,84,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,252,197,105,153,388,242
5937,8150,8,0,0,0,0,0,108,1090,317,12,561,70,69,1248,321,16,889,324,13571,3826,3184,8642,3776,4965
1786,9176,1,1,1,1,1,1,3,77,187,5,37,57,1,40,75,6,21,43,15525,11602,3504,7355,7822,1737
94,72,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,131,156,78,121,206,272
247,619,0,0,0,0,0,0,0,56,11,0,9,0,0,43,14,0,37,10,863,307,216,592,336,238
929,1811,0,0,0,0,0,1,0,201,8,0,30,0,0,138,24,0,24,7,3252,1352,453,1403,743,344
5624,3533,0,0,0,0,0,0,0,126,215,0,101,9,0,221,32,0,76,54,5929,2443,5375,7345,4683,827
154,70,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,343,179,111,132,202,225
282,233,0,0,0,0,0,0,0,1,1,0,6,0,0,58,3,0,6,0,417,367,130,360,155,64
29,13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,114,31,30,40,39,45
1493,1900,0,0,0,0,0,0,1,398,0,0,47,0,1,77,4,1,56,2,4438,591,810,2317,1284,701
46,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,81,31,51,169,1
5,35,0,0,0,0,0,0,1,13,1,0,3,0,0,0,0,0,0,0,39,10,52,14,31,5
516,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,2,497,332,5,511,6,35
953,25,14,0,10,2,0,1,6,23,6,6,1,1,6,31,2,9,12,4,1011,1391,26,1021,40,98
554,1199,0,0,0,0,0,0,0,140,0,0,0,0,0,5,0,3,0,0,2285,862,617,1047,818,135
114,80,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,109,149,57,132,273,271
122,57,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,309,147,86,101,174,183
1107,6,2,0,0,0,0,1,2,19,6,2,4,0,6,31,2,2,1,5,1198,1545,11,1207,10,100
107,80,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,130,141,78,102,229,273
93,65,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,138,148,71,107,279,272
658,1195,0,0,0,0,0,0,11,45,12,2,19,2,3,40,18,0,45,6,1920,603,477,1122,719,853
104,5,23,0,0,0,1,0,0,10,2,1,3,0,0,6,0,0,8,2,251,531,10,54,9,67
10968,6693,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,18940,6078,14333,12722,9683,301
397,1034,0,0,0,0,0,0,31,212,1,3,18,3,3,111,3,12,32,2,1881,798,584,1078,802,238
104,87,0,0,0,0,0,0,18,1,0,0,0,0,0,10,0,0,0,0,154,128,103,126,221,262
1110,11,3,0,1,1,0,1,1,23,7,3,0,1,1,28,3,6,5,3,1203,1541,16,1213,18,98
103,489,1,1,1,1,1,1,2,32,1,0,5,4,1,7,4,0,3,0,1312,1089,374,250,376,76
740,799,1,7,1,1,0,0,8,107,56,6,52,0,3,142,49,20,114,60,1189,686,355,1076,394,296
64,17,28,0,0,3,0,0,2,34,3,1,7,0,3,21,1,0,14,8,300,628,22,133,16,72
40,42,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,42,65,40,108,152,100
34,35,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,65,52,18,66,144,76
9406,5178,0,0,0,0,0,0,0,141,188,0,12,0,0,80,8,0,38,3,10657,1829,6296,9976,10210,710
151,81,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,266,194,92,177,342,242
397,1458,0,0,0,0,0,0,2,85,36,1,21,3,2,79,56,0,17,2,3592,2114,1140,1306,1242,635
1027,17,0,1,2,3,0,3,2,18,3,5,4,1,2,26,7,2,8,2,1271,1426,19,943,16,96
1187,2200,0,0,0,0,0,2,5,223,18,4,30,6,5,145,43,1,24,16,4049,1707,741,1832,1114,805
127,72,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,167,148,74,112,200,273
1027,19,2,0,1,1,0,0,5,14,2,3,2,0,4,28,7,2,7,1,1267,1423,7,938,16,97
81,103,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,155,155,66,92,258,272
108,79,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,103,151,81,237,300,223
390,278,0,0,0,0,0,0,12,26,1,12,6,0,6,55,5,0,21,0,473,466,153,374,195,95
120,57,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,125,149,82,242,330,222
34656,29509,0,0,0,0,0,0,0,126,215,0,101,9,0,221,32,0,76,54,40309,2443,36699,47837,39827,827
1185,2201,0,0,0,0,0,5,5,223,18,4,27,6,5,144,43,1,24,16,4043,1694,783,1819,1103,819
79,69,1,0,1,4,0,0,1,16,0,4,0,0,4,5,0,4,2,2,136,426,66,95,64,40
832,901,0,0,0,0,0,0,39,145,39,0,102,0,0,63,0,0,58,0,1349,416,335,1747,551,389
1314,2235,3,0,0,1,0,4,5,222,18,4,34,8,5,145,41,1,24,39,4095,1772,770,1901,1138,816
173,295,2,2,4,2,2,2,1,46,13,8,11,5,4,10,30,1,5,23,824,493,193,430,322,74
699,4053,1,1,1,1,1,1,10,90,210,0,22,34,29,98,163,7,30,35,6097,3835,1674,3253,3076,524
146,105,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,176,176,73,123,194,224
34656,41732,0,0,0,0,0,0,0,126,215,0,101,9,0,221,32,0,76,54,42599,2440,39755,31793,36006,827
105,80,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,302,149,77,113,177,183
31404,31845,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,38590,6078,29267,25298,24617,301
5730,8383,0,0,0,0,0,0,0,74,193,0,8,0,0,93,7,0,41,9,4842,1929,6406,4927,5060,778
686,1651,0,0,0,0,0,0,0,192,0,1,2,0,0,3,1,2,0,0,3214,1018,878,1494,1202,265
1109,14,0,0,2,2,0,1,1,16,6,2,3,0,0,29,2,4,5,4,1202,1544,11,1210,13,97
269,74,22,0,0,3,0,0,4,13,0,0,0,0,2,5,3,4,10,2,280,689,25,109,38,107
61,45,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,86,82,52,176,215,152
12540,9837,0,0,0,0,0,0,0,97,307,0,6,0,0,125,46,0,21,29,18940,6078,9617,18224,12827,301
142,89,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,186,185,96,113,211,225
19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,22,21,28,7,13
10288,15924,3,3,3,3,3,3,39,616,1113,4,327,16,2,525,92,11,158,37,34324,10442,9176,15875,9126,13946
311,238,0,0,0,0,0,0,0,11,2,0,8,0,0,48,9,0,6,6,428,375,146,379,159,61
100,74,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,118,147,64,151,156,183
1111,20,4,0,1,3,0,1,3,18,6,7,5,0,3,31,2,5,4,5,1215,1545,23,1219,14,98
440,755,0,0,0,0,0,0,4,184,6,2,56,6,0,55,4,6,60,3,1724,677,437,982,668,505
90,82,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,171,154,59,101,171,183
5720,5701,0,0,0,0,0,0,9,268,26,1,449,1,2,354,16,11,812,4,9432,5292,4641,6621,4570,4805
1140,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1184,881,5,1143,5,56
5489,8299,0,0,0,0,0,0,0,97,308,0,6,0,0,125,46,0,21,31,16636,6097,6499,10396,12088,303
239,1798,1,1,1,1,1,1,0,80,3,0,7,2,0,42,3,0,11,4,3366,1815,631,1383,895,529
128,15,25,0,0,0,0,0,0,23,0,0,0,0,0,23,4,0,25,1,96,603,14,242,6,58
96,85,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,123,153,77,122,231,271
136,96,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,384,207,112,122,233,245
972,9,1,0,1,1,0,2,5,16,1,1,3,0,2,20,2,2,5,7,1211,1496,13,1160,11,90
1101,8,0,0,1,0,0,0,1,13,6,2,2,0,1,28,2,4,3,3,1197,1545,20,1206,11,98
4999,7349,11,0,0,0,0,2,85,1007,298,25,288,44,45,929,269,9,747,332,12277,3579,2757,7758,3524,4661
44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,81,38,41,169,1
1899,2150,9,0,2,1,0,1,27,199,180,6,90,22,28,354,132,4,175,168,3553,1462,969,2463,1048,1175
789,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,901,641,5,812,5,52
28,38,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,104,32,21,42,35,44
1141,786,0,0,0,0,0,0,37,85,48,0,11,0,7,120,9,6,93,11,2125,794,772,843,594,2102
100,397,27,0,1,1,0,1,2,69,0,0,15,1,1,14,3,10,17,5,796,1050,192,371,334,151
130,68,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,306,152,74,109,159,184
281,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,732,463,373,408,422
122,73,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,143,149,94,121,148,182
387,44,1,0,1,0,0,1,1,60,1,3,0,0,14,19,10,6,11,2,638,1134,61,654,60,290
132,79,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,368,185,100,133,208,225
503,1273,0,0,0,0,0,0,0,193,0,0,6,0,0,8,0,2,0,0,2341,814,678,985,860,166
124,123,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,746,199,101,118,216,244
319,1008,0,0,0,0,0,0,0,334,0,1,12,0,1,2,0,1,3,2,1948,928,547,615,684,146
100,187,0,0,0,0,0,0,0,16,2,0,25,0,0,4,0,0,2,1,337,152,150,147,135,261
242,840,0,0,0,0,0,0,1,243,0,0,4,0,3,3,1,3,2,3,1602,834,497,446,584,132
23,30,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,37,49,30,179,175,92
747,850,1,0,0,0,0,0,0,90,107,1,35,0,5,140,40,6,91,45,1182,610,329,1107,419,282
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,81,86,33,121,1
17716,16270,1,1,1,1,1,1,266,623,16,187,665,2,241,907,6,1174,1550,1,28203,11024,14727,17734,13945,18158
82,44,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,63,84,55,167,200,151
85,94,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,130,148,63,167,256,200
1803,10059,0,0,0,0,0,0,74,839,85,6,422,22,8,361,35,20,168,25,18541,15329,4869,13033,6038,2543
1109,17,2,0,2,0,0,1,2,18,7,5,6,1,6,27,2,0,3,3,1206,1549,20,1211,15,99
2649,2848,8,0,0,0,0,0,8,229,110,0,79,17,18,343,125,0,180,140,4366,1529,1047,3232,1527,1196
101,78,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,94,117,51,95,126,145
648,627,9,0,0,0,0,0,2,68,41,0,7,1,0,98,28,2,32,27,1276,921,396,895,413,465
35420,34092,0,0,0,0,0,0,0,126,215,0,101,9,0,221,32,0,76,54,38015,2440,38991,33321,41354,827
557,449,0,0,0,0,0,0,0,8,10,0,8,0,0,56,9,0,18,4,759,516,175,556,263,82
489,373,0,0,0,0,0,0,0,9,10,0,6,0,0,48,8,0,17,9,561,420,196,509,270,65
99,64,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,287,146,71,159,172,182
313,236,0,0,0,0,0,0,0,1,1,0,6,0,0,52,5,0,7,6,417,392,141,355,180,60
766,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,933,920,5,743,5,78
788,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,962,402,6,798,5,48
1101,8,1,0,0,0,0,1,2,10,6,2,3,0,5,29,2,2,5,5,1193,1544,11,1209,9,98
178,305,0,0,0,0,1,0,2,60,2,0,15,0,0,3,0,0,26,0,758,177,143,297,194,624
138,116,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,107,186,85,154,182,224
